Index,Title,Category,New Category,Reference Number,Maker/Artist,Materials,Measurements,Time Period,FINAL,Additional Information,Image Link
3429,The Embrace III,Print,Physical Art,776,Engtay,Etching print,18 x 4 7/8 in,,,Number 10/175,https://artcrimes.fbi.gov/nsaf/the-embrace-iii/seal-fbi.jpg/@@images/image/thumb
3430,Garden Scene - Spring,Paintings,Physical Art,964,Ejinar Hansen,Oil on canvas,50 1/8 x 40 in,1935,1935,painting; exterior; boy; woman; sitting; shovel; garden,https://artcrimes.fbi.gov/nsaf/garden-scene-spring/GardenSceneSpring.gif/@@images/image/thumb
3431,Daydreams,Sculpture,Figures,1027,Erte,Bronze; Gold leaf,14 x 18.25 in,1985,1985,sculpture; nude woman; reclining; bench; pillow; smoking; cigarette holder; cigarette; Number 38/50,https://artcrimes.fbi.gov/nsaf/daydreams/Daydreams.gif/@@images/image/thumb
3432,Vegas Blackjack,Print,Physical Art,363,Leroy Neiman,Lithograph,22 x 31.5 in,,,print; men; women; gambling; playing cards; smoking; Signed; A/P,https://artcrimes.fbi.gov/nsaf/vegas-blackjack/VegasBlackjack.gif/@@images/image/thumb
3433,Madonna and Child With St. John,Paintings,Physical Art,374,Antoniazzo Romano,Tempera and gold on panel,18 x 15 in,,,painting; icon; religious; Virgin Mary; Jesus Christ; child; boy; St. John,https://artcrimes.fbi.gov/nsaf/madonna-and-child-with-st-john/MadonnaJohn.gif/@@images/image/thumb
3434,Mother Mountain,Print,Physical Art,964,Mildred Bryant Brooks,Etching,,Prior to 1934,1934,print; # 6/6,https://artcrimes.fbi.gov/nsaf/mother-mountain/seal-fbi.jpg/@@images/image/thumb
3435,Chinese Vases,Print,Physical Art,893,Edna Hibel,Lithograph print,,20th Century,1922,print; landscape; vases; flowers Signed Portfolio # 394 - Artist Proof,https://artcrimes.fbi.gov/nsaf/chinese-vases/seal-fbi.jpg/@@images/image/thumb
3436,6% Bar Series,Paintings,Physical Art,1046,Max Moran,Oil on canvas,42 x 54 in,1984-1985,1985,"Exhibited at Gallery 200 in Columbus, Ohio. Piece may still have gallery tag.",https://artcrimes.fbi.gov/nsaf/6-bar-series/6BarSeries.gif/@@images/image/thumb
3437,Sacre Coeur (Sacred Heart),Paintings,Physical Art,26,Elisee Maclet,Oil on canvas,24 x 18.5 in,20th Century,1935,painting; French; street; man; standing; buildings; trees; Signed lower right,https://artcrimes.fbi.gov/nsaf/sacre-coeur-sacred-heart-4/Handyman.gif/@@images/image/thumb
3438,Labrador Retriever,Sculpture,Figures,547,Kenneth Bunn,Bronze,6 in,20th Century,1901,"sculpture; dog; sitting; ""Bunn"" engraved on sculpture; #1/35",https://artcrimes.fbi.gov/nsaf/labrador-retriever/LabradorRetriever.gif/@@images/image/thumb
3439,Raritan,Paintings,Physical Art,578,Nicolo Funno,Gouache,21 x 31 in,1853,1853,painting; sailing ship; Incised frame,https://artcrimes.fbi.gov/nsaf/raritan/Raritan.gif/@@images/image/thumb
3440,Portrait of Countess Marija Eltz | Portrait de la Comtesse Marija Eltz,Paintings,Physical Art,466,,Oil on canvas,58 x 72 cm,1800-1850,1825,"painting, Countess",https://artcrimes.fbi.gov/nsaf/portrait-of-countess-marija-eltz-portrait-de-la-comtesse-marija-eltz/PortraitOfCountessMarijaEltz.gif/@@images/image/thumb
3441,Marie Nude from Back (cardboard),Paintings,Physical Art,1046,Max Moran,Oil on canvas,24 x 34 in,1986,1986,,https://artcrimes.fbi.gov/nsaf/marie-nude-from-back-cardboard/MarieNudeFromBackCardboard.gif/@@images/image/thumb
3442,Faces in the Hood Series,Paintings,Physical Art,873,Tyree Guyton,Metal; Paint; Automobile hood,66 x 48 in,1990s,1990,painting; face; modern art; Small ID number on back,https://artcrimes.fbi.gov/nsaf/faces-in-the-hood-series-id-012380/Hood17.gif/@@images/image/thumb
3443,Allegory,Paintings,Physical Art,38,Johann Heiss; Germany,Oil on canvas,26 x 32 in,17th Century,1604,painting; man; reclining; woman; sitting; table; angel; wings,https://artcrimes.fbi.gov/nsaf/allegory/Allegory.gif/@@images/image/thumb
3444,R.M. Weaver and Trotter to Wagon,Other - Arts and Antiques,Miscellaneous,,,Gold; Onyx,,,,Inscription,https://artcrimes.fbi.gov/nsaf/r-m-weaver-and-trotter-to-wagon/RMWeaverTrotterWagon.jpg/@@images/image/thumb
3445,Rock with Petroglyphs,Ethnographic Works of Art,Relgion,143,,Flagstone,,,,Petroglyph; abstract; carved with petroglyph symbols,https://artcrimes.fbi.gov/nsaf/rock-with-petroglyphs-id-020909/Petroglyphs1.gif/@@images/image/thumb
3446,Navajo Germantown Moki Blanket,Other - Textiles,Fabrics,860,Navajo,Wool,72 x 65 in,1890s,1890,blanket; geometric; diamond; red; white; black,https://artcrimes.fbi.gov/nsaf/navajo-germantown-moki-blanket/MokiBlanket.gif/@@images/image/thumb
3447,Blue and White Chinese Vase,Vase,Containers,674,,,42 in,,,,https://artcrimes.fbi.gov/nsaf/blue-and-white-chinese-vase/BlueWhiteChineseVase.jpg/@@images/image/thumb
3448,Church Interior,Paintings,Physical Art,285,Leonid Mikhailovich Brailovsky | Rimma Nikitichna Brailovsky,Oil on wood,52 x 68.5 cm,1921,1921,painting; interior; church; monk; signed bottom right,https://artcrimes.fbi.gov/nsaf/church-interior/ChurchInterior.jpg/@@images/image/thumb
3449,Archangel Rafael,Paintings,Physical Art,1148,Unknown,Oil on canvas,Height,18th Century,1704,"No observable markings, wooden frame damaged",https://artcrimes.fbi.gov/nsaf/archangel-rafael/01148_picture_1.jpg/@@images/image/thumb
3450,"Dieu, Le Temps, I'Espace et le Pape",Print,Physical Art,945,Salvador Dali,Hand coloring on BFK Rives wove paper,Unframed dimensions,1974,1974,"From the French-language edition of 195. Published by Transworld Art, New York. Transworld blindstamp lower left corner. Signed and numbered 'F111/195'",https://artcrimes.fbi.gov/nsaf/dieu-le-temps-iespace-et-le-pape/DieuLeTempsLespacePape.gif/@@images/image/thumb
3451,Statue of Male in Gray Clay,Sculpture,Figures,1049,,Clay,4.10 cm,,,sculpture; bust; male; beard; hat,https://artcrimes.fbi.gov/nsaf/statue-of-male-in-gray-clay/GrayClayMale.gif/@@images/image/thumb
3452,British City Buildings,Paintings,Physical Art,790,"David Cox, Sr.",Watercolor on paper,4.75 x 8 in,1780-1790,1785,painting; cityscape; realism; Signed,https://artcrimes.fbi.gov/nsaf/british-city-buildings/BritishCityBuildings.gif/@@images/image/thumb
3453,"Native American Bowl, Salado",Ornamental Ceramic Wares,Containers,205,Native American,Ceramic,6.25 in,13th Century,1245,pot; geometric; Southwest; red; white,https://artcrimes.fbi.gov/nsaf/native-american-bowl-salado/Salado.gif/@@images/image/thumb
3454,Philadelphia Watercolor,Paintings,Physical Art,722,Properous Senante,Watercolor,40 x 30 in,,,painting; signed lower right corner,https://artcrimes.fbi.gov/nsaf/philadelphia-watercolor/PhiladelphiaWatercolor.gif/@@images/image/thumb
3455,Jennie French Potter,Paintings,Physical Art,1081,Samual F. Badger,Oil on canvas,21.5 x 35 in,1901,1901,"painting; sailing ship; ocean; Signed lower left ""S.F.M. Badger / '01""; written on back of canvas ""S.F.M. Badger/ 1901.Cha's'n. Mass.""; Painting was conserved in 1997 by Alexander Katlin who removed grey overpaint from the background but left grey in between riggings.",https://artcrimes.fbi.gov/nsaf/jennie-french-potter/JennieFrenchPotter.gif/@@images/image/thumb
3456,"Native American Bowl, Geometric Southwest Design",Bowls,Containers,205,Native American,Ceramic,,13th Century,1264,bowl; geometric; Southwest; Number 72.1.197/146,https://artcrimes.fbi.gov/nsaf/native-american-bowl-geometric-southwest-design/NAB18.gif/@@images/image/thumb
3457,Sketch of Surgery,Paintings,Physical Art,876,Arbit Blatas,Oil on carton,,20th Century,1990,painting; impressionism; surgery; doctor; light fixture; figures; four; standing; Unsigned,https://artcrimes.fbi.gov/nsaf/sketch-of-surgery/Surgery.gif/@@images/image/thumb
3458,Abstract Marble Sculpture in Pink Terrazzo,Sculpture,Figures,565,Gloria Klar,Marble,36 x 36 in,20th Century,1916,"sculpture; abstract art; ""Gloria Klar"" engraved on sculpture",https://artcrimes.fbi.gov/nsaf/abstract-marble-sculpture-in-pink-terrazzo/PinkTerrazzo.gif/@@images/image/thumb
3459,"View of St. Marks, Venice",Paintings,Physical Art,608,Sidney Hamilton-Blackwood,Oil on cardboard,13.5 x 8.5 in,,,"painting; exterior; water; boat; building; dome; Venice, Italy; waterfront; Signed ""S.H.B."" lower right",https://artcrimes.fbi.gov/nsaf/view-of-st-marks-venice/VeniceView.gif/@@images/image/thumb
3460,Clay Sculpture of Woman Sitting on Throne,Sculpture,Figures,1049,,Clay,4.50 x 5.20 cm,,,sculpture; woman; sitting; throne; hat,https://artcrimes.fbi.gov/nsaf/clay-sculpture-of-woman-sitting-on-throne/WomanThrone2.gif/@@images/image/thumb
3461,Chez Tortoni,Paintings,Physical Art,1159,Edouard Manet,Oil on canvas,26 x 34 cm,1878-1880,1879,painting,https://artcrimes.fbi.gov/nsaf/chez-tortoni/ChezTortoni.gif/@@images/image/thumb
3462,Style #24; Susan Aizumi,Other - Assorted,Miscellaneous,1139,Toni Roller,Ceramic pot,,,,,https://artcrimes.fbi.gov/nsaf/style-24-susan-aizumi/01139_picture_12.jpg/@@images/image/thumb
3463,Indian Chiefs - Pink,Print,Physical Art,237,Andy Warhol,Silkscreen,,,,"print; portrait; Native American; man; #71, 77-100 of 100",https://artcrimes.fbi.gov/nsaf/indian-chiefs-pink/ChiefsPink.gif/@@images/image/thumb
3464,"Bull Cuff Links, Citrine, Tourmaline and Diamond",Other - Jewelry,Accessories,911,Zadora Limited,Citrine; Gold; Diamond; Tourmaline,,20th Century,1951,"cuff links; bull; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/bull-cuff-links-citrine-tourmaline-and-diamond-id-013541/seal-fbi.jpg/@@images/image/thumb
3465,Still Life With Lilac Flowers,Paintings,Physical Art,374,Theodor Aman,Oil on canvas,38 x 24.5 in,1831-1891,1861,painting; still life; flowers; lilac; magnifying glass; dice; decanter,https://artcrimes.fbi.gov/nsaf/still-life-with-lilac-flowers/StillLilac.gif/@@images/image/thumb
3466,La Jarre Fleurie (The Flower Jar),Paintings,Physical Art,24,Michael Bouchery,Oil on canvas,100 x 73 cm,,,painting; exterior; garden; woman; sitting; chair; vase; flowers; hedge; trees,https://artcrimes.fbi.gov/nsaf/la-jarre-fleurie-the-flower-jar/FlowerJar.gif/@@images/image/thumb
3467,Santa Clara,Sculpture,Figures,978,Luisito Lujan,Wood,14 in,1989-1990,1990,sculpture; religious; woman; standing; saint; nun,https://artcrimes.fbi.gov/nsaf/santa-clara/SantaClara.gif/@@images/image/thumb
3468,Camellia Honkongensis,Paintings,Physical Art,1056,Mang Hang Ho,Watercolor and pencil on paper,Height,1990,1990,"unsigned; inscribed in pencil ""Camellia hongkongensis""",https://artcrimes.fbi.gov/nsaf/camellia-honkongensis/CamilliaHonkongensis.gif/@@images/image/thumb
3469,Joan of Arc,Sculpture,Figures,81,,Silver; Ivory; Semi-precious stone,,,,sculpture; woman; standing; armor; flag,https://artcrimes.fbi.gov/nsaf/joan-of-arc/JoanofArc.gif/@@images/image/thumb
3470,Elephant Series,Paintings,Physical Art,71,Christian Claerebout,Oil on paper,40 x 40 in,2002,2002,painting; elephant; Signed upper right,https://artcrimes.fbi.gov/nsaf/elephant-series/ElephantSeries.gif/@@images/image/thumb
3471,Moses,Print,Physical Art,451,Marc Chagall,Lithograph,20.25 x 15 in,,,print; religious; man; beard; tablet; Ten Commandments; Signed; #39/50,https://artcrimes.fbi.gov/nsaf/moses/Moses.gif/@@images/image/thumb
3472,When Beavers Come High,Sculpture,Figures,452,J. Shirley Bothum,Bronze,30 in,,,sculpture; horse; bucking; man; riding; #15/24,https://artcrimes.fbi.gov/nsaf/when-beavers-come-high/BeaversHigh.gif/@@images/image/thumb
3473,Ivory Sopranino Recorder in F (2/2),Other - Musical Instruments,Instruments,1131,Unknown,Ivory,Length,1700,1700,One of a handful of ivory recorders known to exist. The 7th hole is drilled twice for left or right handed players. It has two cracks in the lower end and the lip is chipped.,https://artcrimes.fbi.gov/nsaf/ivory-sopranino-recorder-in-f-2-2/01131_picture_2.jpg/@@images/image/thumb
3474,The Descent from the Cross,Print,Physical Art,150,Rembrandt,Etching,16.25 x 20.5 in,,,print; religious; Jesus Christ; cross; ladder; people,https://artcrimes.fbi.gov/nsaf/the-descent-from-the-cross/CrossDescent.gif/@@images/image/thumb
3475,Confession No. 1,Paintings,Physical Art,964,Keiji Harada,Oil on canvas,26 x 36 in,1900-1965,1933,painting; abstract art,https://artcrimes.fbi.gov/nsaf/confession-no-1/ConfessionNo1.gif/@@images/image/thumb
3476,Kiowa Princess,Sculpture,Figures,596,Don Polland; Chilmark,Pewter,7.75 in,,,sculpture; Native American; woman; standing; Number 200 of 1200.,https://artcrimes.fbi.gov/nsaf/kiowa-princess/KiowaPrincess.gif/@@images/image/thumb
3477,Eros-Cherub,Sculpture,Figures,1160,Roman; Hatra,Marble,,,,sculpture; child; bust,https://artcrimes.fbi.gov/nsaf/eros-cherub/Eros-Cherub.gif/@@images/image/thumb
3478,Sacramental Book,Books,Physical Art,952,,,Length,,,,https://artcrimes.fbi.gov/nsaf/sacramental-book/seal-fbi.jpg/@@images/image/thumb
3479,Hodges Engraved Bowl,Ornamental Ceramic Wares,Containers,389,Caddo Nation,Ceramic,6 cm,600 AD,600,"pottery; El Camino 1 design with traces of red pigment in lines; vessel is warped with large crack in one side, interior and exterior surfaces eroded",https://artcrimes.fbi.gov/nsaf/hodges-engraved-bowl-id-020716/HodgesBowl716.gif/@@images/image/thumb
3480,Peccato Originale,Sculpture,Figures,56,Erte,Bronze,23.5 x 21 in,1990,1990,bas relief; nude woman; nude man; tree; apple; Adam and Eve; #486/499,https://artcrimes.fbi.gov/nsaf/peccato-originale/PeccatoOriginale.gif/@@images/image/thumb
3481,Freedom and Captivity,Print,Physical Art,323,Erte,Serigraph,,20th Century,1972,print; woman; gown; necklace; tree; birds; CXVI/CXXV,https://artcrimes.fbi.gov/nsaf/freedom-and-captivity/FreedomCaptivity.gif/@@images/image/thumb
3482,Ulysses -- Large,Sculpture,Figures,604,John Dreyfuss,Cast bronze,Length,1992,1992,"signature, edition no. and foundry mark (ART or Tallix) marked on base",https://artcrimes.fbi.gov/nsaf/ulysses-large/Ulysses.gif/@@images/image/thumb
3483,Pecheur Martigue - Fishermen of Martigue,Paintings,Physical Art,690,Jose Fabri-Canti,Oil on canvas,16 x 18 in,20th Century,1967,"painting, impressionist, boat, building; Signed lower right",https://artcrimes.fbi.gov/nsaf/pecheur-martigue-fishermen-of-martigue/PecheurMartigue.gif/@@images/image/thumb
3484,Child Jesus,Paintings,Physical Art,695,Anonymous,Oil on canvas,40 x 30 cm,18th Century,1700,"painting; child Jesus standing on ledge holding script, flanked by lamb",https://artcrimes.fbi.gov/nsaf/child-jesus/ChildJesus.gif/@@images/image/thumb
3485,Steamboat,Paintings,Physical Art,230,Cecil Bell,Oil on canvas,30 x 40 in,,,painting; ocean; boat; waves; man; standing; Signed lower right,https://artcrimes.fbi.gov/nsaf/steamboat/Steamboat.gif/@@images/image/thumb
3486,Behind Our Kitchen Window in Vermont,Watercolour Drawings,Physical Art,667,Wolf Kahn,Pencil on paper,11 x 14 in,1983,1983,drawing; exterior; backyard; Title of work on back in artist's handwriting; artist code no. 435,https://artcrimes.fbi.gov/nsaf/behind-our-kitchen-window-in-vermont/seal-fbi.jpg/@@images/image/thumb
3487,Bud Form,Sculpture,Figures,667,Alice Ballard Munn,Ceramic,16 in,,,,https://artcrimes.fbi.gov/nsaf/bud-form/seal-fbi.jpg/@@images/image/thumb
3488,Paris - Luxembourg Gardens 1,Paintings,Physical Art,876,Arbit Blatas,Oil on canvas,72 x 86.5 cm,20th Century,1950,"painting; impressionism; figure; trees; building; garden; yard; grass; Signed lower right ""Blatas""",https://artcrimes.fbi.gov/nsaf/paris-luxembourg-gardens-1/LuxembourgGardens.gif/@@images/image/thumb
3489,Clamdiggers Returning Home,Paintings,Physical Art,515,,Oil on canvas,26 x 18 in,,,painting; beach; ocean; woman; girl; walking; baskets,https://artcrimes.fbi.gov/nsaf/clamdiggers-returning-home/Clamdiggers.gif/@@images/image/thumb
3490,Zongjing Lu in 100 Chapters,Books,Physical Art,865,China,,24.30 cm,Yuan Period,,Woodblock edition printed by the Xingsheng Wanshou Meditation Monastery of Jingshan,https://artcrimes.fbi.gov/nsaf/zongjing-lu-in-100-chapters/seal-fbi.jpg/@@images/image/thumb
3491,"Frog Brooch on Jade Lily Pad, Ruby and Diamond",Brooches and Pins,Accessories,911,Zadora Limited,Gold; Ruby; Diamond,,20th Century,1919,"brooch; frog; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/frog-brooch-on-jade-lily-pad-ruby-and-diamond-id-013555/seal-fbi.jpg/@@images/image/thumb
3492,"Fish Salt Cellars, Aquamarine",Condiments,Miscellaneous,911,Zadora Limited,Aquamarine; Gold,,20th Century,1949,"salt cellar; fish; ""Zadora"" signature and possible engraved goldsmith initials",https://artcrimes.fbi.gov/nsaf/fish-salt-cellars-aquamarine/seal-fbi.jpg/@@images/image/thumb
3493,Adoration of the Three Kings,Paintings,Physical Art,695,Anonymous,Oil on canvas,170 x 145 cm,17th Century,1692,painting; veneration of three wise men to Jesus as a child; hole in lower left,https://artcrimes.fbi.gov/nsaf/adoration-of-the-three-kings/Adoration.gif/@@images/image/thumb
3494,Mother of God (of Smolenskaya),Triptych/Diptych/Icon,Relgion,360,Russian,Enamel on copper,Open,19th Century,1832,,https://artcrimes.fbi.gov/nsaf/mother-of-god-of-smolenskaya/MotherGodSmolenskaya.jpg/@@images/image/thumb
3495,"Le Quai du Louvre a Paris, sous la Neige",Paintings,Physical Art,307,Edouard Cortes,Oil on canvas,13 x 18 in,1900-1910,1905,"painting; Paris, France; street scene; signed lower right",https://artcrimes.fbi.gov/nsaf/le-quai-du-louvre-a-paris-sous-la-neige/QuaiDuLouvre.gif/@@images/image/thumb
3496,Breadwinner,Print,Physical Art,953,Lloyd Moylan,Lithograph print,Height,Circa 1935,1935,Label on verso,https://artcrimes.fbi.gov/nsaf/breadwinner/seal-fbi.jpg/@@images/image/thumb
3497,Hollywood Collects,Print,Physical Art,340,Ed Ruscha,Offset lithograph in colors,24 x 36 in,1970,1970,Print; Hollywood sign; Signed 'Ed Ruscha' (lower right); numbered 29/220 (lower left),https://artcrimes.fbi.gov/nsaf/hollywood-collects/HollywoodCollects.jpg/@@images/image/thumb
3498,Mending Fences,Paintings,Physical Art,106,Andrew Wyeth,Watercolor on paper,22 x 30 in,1960,1960,signed,https://artcrimes.fbi.gov/nsaf/mending-fences/MendingFences.gif/@@images/image/thumb
3499,The Battle of Bunker Hill,Paintings,Physical Art,157,Howard Pyle,Oil on canvas,23.25 x 35.5 in,Circa 1897,1897,painting; field; soldiers; battle; war; guns; drums; British; marching,https://artcrimes.fbi.gov/nsaf/the-battle-of-bunker-hill/BunkerHill.gif/@@images/image/thumb
3500,Unsaddling Cart Horses,Paintings,Physical Art,78,Wouter Verschwr,Oil on panel,13.5 x 19.25 in,19th Century,1880,painting; exterior; man; horses; dog; Signed by the artist,https://artcrimes.fbi.gov/nsaf/unsaddling-cart-horses/UnsaddlingCartHorses.gif/@@images/image/thumb
3501,The History of the Worthies of England,Books,Physical Art,895,Thomas Fuller,Printed paper,36 cm,Copyright,,"book; Kenyon College books can be identified by the following:1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note",https://artcrimes.fbi.gov/nsaf/the-history-of-the-worthies-of-england/seal-fbi.jpg/@@images/image/thumb
